Instance,Memory (GiB),Processor,vCPUs,CPU cores,Threads per core,Accelerator count,Accelerators,Accelerator memory
c6id.8xlarge,64.00,Intel Xeon Ice Lake,32,16,2,None,None,None
c6id.12xlarge,96.00,Intel Xeon Ice Lake,48,24,2,None,None,None
c6id.16xlarge,128.00,Intel Xeon Ice Lake,64,32,2,None,None,None
c6id.24xlarge,192.00,Intel Xeon Ice Lake,96,48,2,None,None,None
c6id.32xlarge,256.00,Intel Xeon Ice Lake,128,64,2,None,None,None
c6id.metal,256.00,Intel Xeon Ice Lake,128,64,2,None,None,None
c6in.large,4.00,Intel Xeon Ice Lake,2,1,2,None,None,None
c6in.xlarge,8.00,Intel Xeon Ice Lake,4,2,2,None,None,None
c6in.2xlarge,16.00,Intel Xeon Ice Lake,8,4,2,None,None,None
c6in.4xlarge,32.00,Intel Xeon Ice Lake,16,8,2,None,None,None
c6in.8xlarge,64.00,Intel Xeon Ice Lake,32,16,2,None,None,None
c6in.12xlarge,96.00,Intel Xeon Ice Lake,48,24,2,None,None,None
c6in.16xlarge,128.00,Intel Xeon Ice Lake,64,32,2,None,None,None
c6in.24xlarge,192.00,Intel Xeon Ice Lake,96,48,2,None,None,None
c6in.32xlarge,256.00,Intel Xeon Ice Lake,128,64,2,None,None,None
c6in.metal,256.00,Intel Xeon Ice Lake,128,64,2,None,None,None
c7a.medium,2.00,AMD EPYC 9R14,1,1,1,None,None,None
c7a.large,4.00,AMD EPYC 9R14,2,2,1,None,None,None
c7a.xlarge,8.00,AMD EPYC 9R14,4,4,1,None,None,None
c7a.2xlarge,16.00,AMD EPYC 9R14,8,8,1,None,None,None
c7a.4xlarge,32.00,AMD EPYC 9R14,16,16,1,None,None,None
c7a.8xlarge,64.00,AMD EPYC 9R14,32,32,1,None,None,None
c7a.12xlarge,96.00,AMD EPYC 9R14,48,48,1,None,None,None
c7a.16xlarge,128.00,AMD EPYC 9R14,64,64,1,None,None,None
c7a.24xlarge,192.00,AMD EPYC 9R14,96,96,1,None,None,None
c7a.32xlarge,256.00,AMD EPYC 9R14,128,128,1,None,None,None
c7a.48xlarge,384.00,AMD EPYC 9R14,192,192,1,None,None,None
c7a.metal-48xl,384.00,AMD EPYC 9R14,192,192,1,None,None,None
c7g.medium,2.00,AWS Graviton3 Processor,1,1,1,None,None,None
c7g.large,4.00,AWS Graviton3 Processor,2,2,1,None,None,None
c7g.xlarge,8.00,AWS Graviton3 Processor,4,4,1,None,None,None
c7g.2xlarge,16.00,AWS Graviton3 Processor,8,8,1,None,None,None
c7g.4xlarge,32.00,AWS Graviton3 Processor,16,16,1,None,None,None
c7g.8xlarge,64.00,AWS Graviton3 Processor,32,32,1,None,None,None
c7g.12xlarge,96.00,AWS Graviton3 Processor,48,48,1,None,None,None
